Frame,TopLeftCornerX,TopLeftCornerY,suc,Length,Height
1,278.5,192.5,0,56,38
2,599.5,151.5,1,121,130
3,5.5,46.5,0,90,87
5,239.5,101.5,0,103,21
6,682.5,124.5,1,34,26
7,0.5,270.5,0,260,139
9,3.5,277.5,0,63,36
11,442.5,75.5,1,75,74
11,676.5,76.5,0,21,21
13,0.5,176.5,1,29,41
13,327.5,188.5,0,36,31
13,436.5,201.5,0,27,23
15,11.5,128.5,1,235,172
15,218.5,446.5,0,234,34
15,384.5,166.5,0,120,86
15,503.5,217.5,0,62,52
15,571.5,268.5,0,99,32
16,229.5,163.5,1,104,94
16,327.5,177.5,1,78,91
23,521.5,11.5,1,42,25
26,0.5,274.5,1,22,34
26,142.5,224.5,0,37,27
27,39.5,282.5,0,50,39
27,140.5,261.5,0,32,21
27,163.5,274.5,1,79,42
27,173.5,239.5,0,37,21
27,201.5,194.5,1,84,53
27,349.5,222.5,0,78,39
27,357.5,143.5,1,63,39
27,462.5,120.5,0,56,52
28,409.5,323.5,1,50,44
28,519.5,288.5,0,120,29
29,144.5,339.5,1,30,23
29,250.5,311.5,0,21,21
33,451.5,209.5,1,28,30
33,674.5,213.5,0,21,23
34,0.5,329.5,1,65,80
34,104.5,235.5,1,46,21
34,411.5,249.5,1,133,33
34,672.5,415.5,1,48,65
35,475.5,0.5,1,34,25
36,76.5,36.5,0,39,33
36,149.5,0.5,1,109,101
36,259.5,45.5,0,109,51
36,316.5,34.5,0,33,24
36,373.5,39.5,0,36,25
36,427.5,36.5,1,30,26
36,444.5,51.5,0,35,29
38,0.5,186.5,0,30,44
38,311.5,182.5,0,109,45
38,576.5,248.5,1,71,26
39,0.5,0.5,0,56,71
39,72.5,35.5,1,30,24
39,236.5,94.5,1,40,24
39,374.5,213.5,1,43,38
40,590.5,218.5,1,27,22
41,231.5,228.5,0,52,22
41,277.5,224.5,0,38,29
41,306.5,247.5,1,29,21
41,333.5,236.5,0,37,23
41,371.5,241.5,0,34,22
41,404.5,242.5,0,51,22
41,530.5,212.5,1,47,39
41,614.5,237.5,0,35,25
41,657.5,240.5,0,63,27
41,697.5,366.5,1,23,24
42,35.5,185.5,0,67,62
42,37.5,131.5,0,60,33
42,144.5,183.5,1,101,31
42,231.5,307.5,0,429,173
42,237.5,118.5,1,33,22
42,256.5,210.5,0,49,52
42,452.5,250.5,0,90,47
42,608.5,158.5,1,91,63
45,316.5,96.5,0,33,25
45,453.5,130.5,0,29,30
45,478.5,109.5,0,45,43
45,554.5,153.5,0,30,22
45,659.5,150.5,1,31,29
46,0.5,194.5,1,47,82
46,42.5,97.5,1,71,38
47,205.5,33.5,1,118,63
47,213.5,139.5,0,186,59
47,392.5,46.5,0,28,22
47,557.5,93.5,0,42,26
47,648.5,116.5,1,30,30
